Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2026-07-03T04:00:00.000Z,32.7586740681,33.0670625848,32.7586740681,32.9277877808,4000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-06T04:00:00.000Z,33.0471674401,33.1665420532,32.9775319328,33.1665420532,19600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-07T04:00:00.000Z,33.236177425,33.4152412415,33.236177425,33.4152412415,400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-08T04:00:00.000Z,32.9377373685,32.9377373685,32.6790879598,32.7387771606,12900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-09T04:00:00.000Z,32.8183647476,33.0969067785,32.8183647476,33.0272712708,14500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-10T04:00:00.000Z,33.1665414185,33.2262306213,33.1665414185,33.2262306213,500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-13T04:00:00.000Z,33.2361769244,33.2361769244,33.1317236655,33.2262306213,500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-14T04:00:00.000Z,33.1267473357,33.3456039429,33.1267473357,33.3456039429,3800,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-15T04:00:00.000Z,33.723628039,33.8430026456,33.723628039,33.8131599426,3300,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-16T04:00:00.000Z,33.7733663876,34.0121155954,33.7435198905,33.7634162903,2700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-17T04:00:00.000Z,33.6241497419,33.9325382872,33.6042533394,33.7037353516,7200,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-20T04:00:00.000Z,33.6937825618,33.6937825618,32.997423712,33.0073738098,7400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-21T04:00:00.000Z,33.0670640737,33.077010377,33.0272712708,33.0272712708,2900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-22T04:00:00.000Z,33.126748092,33.2262300952,33.0272698836,33.0372161865,3500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-23T04:00:00.000Z,32.7288325528,32.7288325528,32.5298723347,32.6989860535,3700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-24T04:00:00.000Z,33.0173187256,33.2560717307,33.0173187256,33.0173187256,2500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-27T04:00:00.000Z,33.4251861572,33.4550326553,33.1565942386,33.4251861572,5000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-28T04:00:00.000Z,33.3953452941,33.9623794556,33.2660205817,33.9623794556,2300,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-29T04:00:00.000Z,33.4152427391,33.4152427391,32.6591984319,32.6890411377,12300,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-30T04:00:00.000Z,33.1068496704,33.1068496704,33.1068496704,33.1068496704,200,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-07-31T04:00:00.000Z,33.051998828,33.2614402771,33.051998828,33.2614402771,500,0.085,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-04T04:00:00.000Z,33.4210124417,33.5506682917,33.2913603963,33.4509353638,5000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-05T04:00:00.000Z,33.6304609169,33.6304609169,33.4908332825,33.4908332825,400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-06T04:00:00.000Z,33.5805900945,33.5805900945,33.2714157104,33.2714157104,4600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-07T04:00:00.000Z,33.1218104758,33.1517333984,33.1118387047,33.1517333984,1800,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-10T04:00:00.000Z,33.1317886218,33.1916268625,33.1068534851,33.1068534851,14200,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-11T04:00:00.000Z,33.2016028446,33.2016028446,32.9522666931,32.9522666931,2300,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-12T04:00:00.000Z,33.0619716422,33.1916236877,32.9422875632,33.1916236877,800,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-13T04:00:00.000Z,33.5207500612,33.5606447552,33.2614383544,33.3910942078,7700,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-14T04:00:00.000Z,33.3811231801,33.3811231801,33.3412284851,33.3412284851,500,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-17T04:00:00.000Z,33.2614402771,33.2614402771,33.2614402771,33.2614402771,2400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-18T04:00:00.000Z,33.0619740639,33.0619740639,32.7527958771,32.7727432251,4600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-19T04:00:00.000Z,32.6929541607,32.6929541607,31.8551864624,31.8551864624,2600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-20T04:00:00.000Z,31.7055851599,31.7055851599,31.0872306824,31.0872306824,1900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-21T04:00:00.000Z,31.6158236457,31.6158236457,31.3664875031,31.3664875031,2900,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-24T04:00:00.000Z,31.117151062,31.5559812992,31.117151062,31.3864326477,2000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-25T04:00:00.000Z,31.5759276597,32.0945472717,31.5759276597,32.0945472717,2800,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-26T04:00:00.000Z,32.074600067,32.1344421087,32.074600067,32.0845718384,2000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-27T04:00:00.000Z,31.9648916033,31.9648916033,31.6058488641,31.8252639771,5000,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-28T04:00:00.000Z,31.7654242564,31.9249973297,31.7155558876,31.9249973297,6400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-08-31T04:00:00.000Z,31.8099994659,31.9799995422,31.5499992371,31.5499992371,3100,0.085,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-09-01T04:00:00.000Z,31.2099990845,31.3199996948,31.1900005341,31.3199996948,7200,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-09-02T04:00:00.000Z,31.6900005341,31.8500003815,31.6900005341,31.8500003815,600,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-09-03T04:00:00.000Z,32.4500007629,32.4799995422,32.3400001526,32.4799995422,2200,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-09-04T04:00:00.000Z,32.5400009155,32.6199989319,32.4000015259,32.4000015259,3400,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
2026-09-08T04:00:00.000Z,32.1599998474,32.1599998474,32.1599998474,32.1599998474,563,0.0,0.0,0.0,HFIN.TO,NA,NA,CAD
