Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-06-26T04:00:00.000Z,7312.740234375,7392.9501953125,7294.1801757812,7354.0200195312,9105600000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-29T04:00:00.000Z,7391.8798828125,7444.3198242188,7348.8798828125,7440.4301757812,5794570000,0.0,0.0,^GSPC,NA,NA,USD
2026-06-30T04:00:00.000Z,7441.2700195312,7508.2900390625,7438.0400390625,7499.3598632812,6037540000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-01T04:00:00.000Z,7478.83984375,7521.8100585938,7449.6298828125,7483.2299804688,5782730000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-02T04:00:00.000Z,7495.1401367188,7540.75,7427.5498046875,7483.240234375,5463520000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-06T04:00:00.000Z,7506.9599609375,7551.3100585938,7500.9702148438,7537.4301757812,4971110000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-07T04:00:00.000Z,7516.6298828125,7536.0600585938,7478.6298828125,7503.8500976562,5049590000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-08T04:00:00.000Z,7476.5400390625,7488.509765625,7421.8198242188,7482.7099609375,5102020000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-09T04:00:00.000Z,7491.6000976562,7546.8901367188,7481.7299804688,7543.6401367188,4442950000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-10T04:00:00.000Z,7547.6401367188,7579.9301757812,7508.16015625,7575.3901367188,4006370000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-13T04:00:00.000Z,7547.5297851562,7565.3701171875,7506.41015625,7515.33984375,4729990000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-14T04:00:00.000Z,7536.7001953125,7557.4399414062,7513.2299804688,7543.58984375,4836950000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-15T04:00:00.000Z,7571.7202148438,7581.5,7526.9501953125,7572.3999023438,5236550000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-16T04:00:00.000Z,7558.7998046875,7570.740234375,7504.0200195312,7533.7700195312,5365300000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-17T04:00:00.000Z,7447.5200195312,7498.4702148438,7431.259765625,7457.6899414062,5303290000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-20T04:00:00.000Z,7489.1801757812,7513.2299804688,7440.5297851562,7443.2797851562,5152910000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-21T04:00:00.000Z,7489.9501953125,7515.3100585938,7467.8598632812,7509.2001953125,5149030000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-22T04:00:00.000Z,7497.4702148438,7525.9399414062,7485.8500976562,7498.9599609375,4890390000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-23T04:00:00.000Z,7418.2900390625,7450.1201171875,7376.0,7408.2998046875,5515210000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-24T04:00:00.000Z,7406.2998046875,7460.9799804688,7396.5297851562,7411.9799804688,4860620000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-27T04:00:00.000Z,7464.2001953125,7480.5698242188,7382.740234375,7413.1801757812,5038290000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-28T04:00:00.000Z,7395.5498046875,7452.08984375,7382.9501953125,7428.7797851562,5590890000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-29T04:00:00.000Z,7418.16015625,7450.83984375,7313.919921875,7316.1499023438,5836350000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-30T04:00:00.000Z,7390.4501953125,7448.75,7370.9799804688,7437.6298828125,5594430000,0.0,0.0,^GSPC,NA,NA,USD
2026-07-31T04:00:00.000Z,7462.1298828125,7512.0400390625,7399.830078125,7489.7202148438,5391020000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-03T04:00:00.000Z,7504.7797851562,7610.0400390625,7504.7797851562,7600.5,5201470000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-04T04:00:00.000Z,7630.6201171875,7758.2099609375,7629.1000976562,7736.5200195312,5906940000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-05T04:00:00.000Z,7771.6201171875,7793.6801757812,7720.169921875,7723.5498046875,5615640000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-06T04:00:00.000Z,7713.7900390625,7742.8500976562,7698.1499023438,7709.9599609375,5330830000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-07T04:00:00.000Z,7735.1801757812,7763.080078125,7719.1899414062,7757.6401367188,5019970000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-10T04:00:00.000Z,7751.740234375,7773.759765625,7743.1098632812,7753.1098632812,4879540000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-11T04:00:00.000Z,7767.509765625,7767.509765625,7717.25,7728.2001953125,4739500000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-12T04:00:00.000Z,7765.4599609375,7766.009765625,7737.9501953125,7748.5,4574170000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-13T04:00:00.000Z,7763.1801757812,7816.7001953125,7763.1801757812,7798.990234375,4833230000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-14T04:00:00.000Z,7806.6000976562,7810.009765625,7776.3100585938,7785.759765625,4159900000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-17T04:00:00.000Z,7790.6801757812,7790.6801757812,7744.8798828125,7745.0600585938,4452630000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-18T04:00:00.000Z,7700.0400390625,7713.9501953125,7688.6298828125,7691.759765625,4602700000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-19T04:00:00.000Z,7716.740234375,7743.9301757812,7700.0698242188,7707.9799804688,5184100000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-20T04:00:00.000Z,7690.490234375,7699.9599609375,7639.009765625,7641.16015625,4759610000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-21T04:00:00.000Z,7665.6801757812,7697.1098632812,7660.0600585938,7674.3701171875,4497270000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-24T04:00:00.000Z,7663.3798828125,7670.2998046875,7638.169921875,7652.8598632812,4400800000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-25T04:00:00.000Z,7676.66015625,7686.1098632812,7650.919921875,7677.2797851562,4260240000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-26T04:00:00.000Z,7666.8798828125,7690.7299804688,7657.41015625,7675.7001953125,4100600000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-27T04:00:00.000Z,7710.33984375,7741.2700195312,7689.8901367188,7730.990234375,4362240000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-28T04:00:00.000Z,7735.169921875,7771.4799804688,7700.91015625,7711.759765625,4297560000,0.0,0.0,^GSPC,NA,NA,USD
2026-08-31T04:00:00.000Z,7697.5200195312,7697.5200195312,7665.0600585938,7686.1401367188,5386090000,0.0,0.0,^GSPC,NA,NA,USD
2026-09-01T04:00:00.000Z,7635.4702148438,7663.6298828125,7611.2001953125,7631.4702148438,4858180000,0.0,0.0,^GSPC,NA,NA,USD
2026-09-02T04:00:00.000Z,7634.580078125,7681.1899414062,7633.6201171875,7666.6000976562,4738910000,0.0,0.0,^GSPC,NA,NA,USD
2026-09-03T04:00:00.000Z,7686.7099609375,7756.759765625,7686.7099609375,7747.7099609375,4726400000,0.0,0.0,^GSPC,NA,NA,USD
2026-09-04T04:00:00.000Z,7750.1899414062,7750.1899414062,7706.1201171875,7718.6000976562,4103570000,0.0,0.0,^GSPC,NA,NA,USD
2026-09-08T04:00:00.000Z,7717.8100585938,7717.8100585938,7675.6899414062,7691.7001953125,1062702000,0.0,0.0,^GSPC,NA,NA,USD
