Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-19,30106.0,30292.80078125,30067.69921875,30278.400390625,251813300,0.0,0.0
2025-11-20,30479.900390625,30632.80078125,29898.5,29906.599609375,248350800,0.0,0.0
2025-11-21,29933.19921875,30242.5,29841.80078125,30160.69921875,266881500,0.0,0.0
2025-11-24,30194.599609375,30614.5,30154.5,30604.400390625,453168900,0.0,0.0
2025-11-25,30624.0,30924.099609375,30572.0,30900.69921875,282654100,0.0,0.0
2025-11-26,30958.19921875,31215.5,30958.19921875,31180.30078125,234778200,0.0,0.0
2025-11-27,31165.30078125,31226.69921875,31158.80078125,31216.19921875,34506200,0.0,0.0
2025-11-28,31233.900390625,31411.0,31151.69921875,31382.80078125,207817800,0.0,0.0
2025-12-01,31262.099609375,31308.80078125,31099.80078125,31101.80078125,289026600,0.0,0.0
2025-12-02,31158.19921875,31179.0,30908.099609375,31049.30078125,273879400,0.0,0.0
2025-12-03,31083.69921875,31210.69921875,31063.0,31160.5,285143900,0.0,0.0
2025-12-04,31189.0,31520.30078125,31189.0,31477.599609375,290212300,0.0,0.0
2025-12-05,31495.69921875,31541.69921875,31265.0,31311.400390625,267078100,0.0,0.0
2025-12-08,31323.400390625,31332.400390625,31163.80078125,31170.0,313912900,0.0,0.0
2025-12-09,31164.900390625,31395.900390625,31160.900390625,31244.400390625,256259200,0.0,0.0
2025-12-10,31208.0,31555.099609375,31198.69921875,31490.900390625,299938000,0.0,0.0
2025-12-11,31470.19921875,31725.099609375,31410.400390625,31660.69921875,264198400,0.0,0.0
2025-12-12,31710.900390625,31760.80078125,31325.80078125,31527.400390625,285540400,0.0,0.0
2025-12-15,31594.599609375,31707.0,31434.099609375,31483.400390625,291964000,0.0,0.0
2025-12-16,31374.900390625,31480.599609375,31215.80078125,31263.900390625,313057400,0.0,0.0
2025-12-17,31382.19921875,31450.5,31170.80078125,31250.0,295937800,0.0,0.0
2025-12-18,31367.5,31636.69921875,31366.900390625,31440.900390625,266169000,0.0,0.0
2025-12-19,31527.400390625,31865.80078125,31527.400390625,31755.80078125,689859400,0.0,0.0
2025-12-22,31875.099609375,32081.900390625,31827.599609375,32000.099609375,290359100,0.0,0.0
2025-12-23,31989.099609375,32073.19921875,31950.80078125,32058.69921875,245182100,0.0,0.0
2025-12-24,32039.0,32079.69921875,31914.69921875,31999.80078125,82632300,0.0,0.0
2025-12-29,31890.599609375,31993.0,31834.099609375,31896.599609375,262173400,0.0,0.0
